odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,bankrupt
1.9,50,7909,6044,1865,9,0,1000,1
1.9,100,4136,3329,807,4,32,36660,0
1.9,150,1750,1456,294,5,15,8384,0
1.9,200,613,529,84,3,66,512,1
1.9,250,187,165,22,2,142,9609,0
1.9,300,44,40,4,1,333,6241,0
1.9,350,12,12,0,0,1000,6210,0
1.9,400,3,3,0,0,1000,2400,0
1.8,50,6966,5441,1525,6,7,9926,0
1.8,100,3672,3003,669,4,32,29910,0
1.8,150,1569,1327,242,3,66,287,1
1.8,200,557,488,69,2,142,25472,0
1.8,250,172,153,19,2,142,8405,0
1.8,300,43,39,4,1,333,5952,0
1.8,350,12,12,0,0,1000,6210,0
1.8,400,3,3,0,0,1000,2400,0
1.7,50,5949,4733,1216,6,7,7802,0
1.7,100,3179,2634,545,6,7,5381,0
1.7,150,1357,1160,197,3,66,255,1
1.7,200,488,430,58,2,142,19792,0
1.7,250,151,135,16,2,142,6833,0
1.7,300,39,36,3,1,333,5492,0
1.7,350,11,11,0,0,1000,5430,0
1.7,400,3,3,0,0,1000,2400,0
1.6,50,4724,3859,865,6,7,5599,0
1.6,100,2538,2151,387,5,15,7827,0
1.6,150,1114,973,141,3,66,16874,0
1.6,200,403,362,41,2,142,14746,0
1.6,250,128,116,12,2,142,5398,0
1.6,300,31,30,1,1,333,4496,0
1.6,350,9,9,0,0,1000,4160,0
1.6,400,2,2,0,0,1000,1750,0
1.5,50,3520,2976,544,6,7,3771,0
1.5,100,1909,1666,243,4,32,10811,0
1.5,150,843,756,87,2,142,23672,0
1.5,200,318,291,27,2,142,10659,0
1.5,250,98,90,8,1,333,7497,0
1.5,300,20,19,1,1,333,2512,0
1.5,350,6,6,0,0,1000,2500,0
1.5,400,1,1,0,0,1000,1220,0
1.4,50,2361,2049,312,4,32,8346,0
1.4,100,1305,1168,137,4,32,6364,0
1.4,150,587,539,48,2,142,565,1
1.4,200,213,199,14,2,142,6103,0
1.4,250,71,67,4,1,333,5089,0
1.4,300,16,15,1,1,333,1856,0
1.4,350,5,5,0,0,1000,2080,0
1.4,400,1,1,0,0,1000,1220,0
1.3,50,1332,1204,128,3,66,7891,0
1.3,100,752,698,54,2,142,12670,0
1.3,150,344,326,18,1,333,15486,0
1.3,200,131,126,5,1,333,7001,0
1.3,250,45,44,1,1,333,3164,0
1.3,300,11,11,0,0,1000,3060,0
1.3,350,3,3,0,0,1000,1400,0
1.3,400,1,1,0,0,1000,1220,0
1.2,50,597,576,21,1,333,17137,0
1.2,100,343,329,14,2,142,4541,0
1.2,150,167,161,6,1,333,5302,0
1.2,200,69,67,2,1,333,2931,0
1.2,250,23,23,0,0,1000,3160,0
1.2,300,3,3,0,0,1000,1190,0
1.2,350,2,2,0,0,1000,1180,0
1.2,400,0,0,0,0,0,1000,0
